ID_NUMBER,TARGET,FIRST_VISIT_DATEKEY,AL,AN,AT,CA,CT,FR,FS,GA,GS,HD,HR,MD,OP,PA,PP,PS,RF,SA,SP,ST,TP,TR,TT,XF,FORMER_ATHLETE,HONORS_PROGRAM,DOUBLE_DEL,SOLICIT_CTRL,HAS_EMPLOYMENT_IND,SELF_EMPLOYED,POSITION_LEVEL_CODE,FLD_OF_WORK_CODE,DEG_AG,DEG_AS,DEG_BE,DEG_BS,DEG_CE,DEG_EG,DEG_EL,DEG_GC,DEG_GR,DEG_HN,DEG_HP,DEG_HY,DEG_MS,DEG_US,NUM_EVENTS_REGISTERED,NUM_EVENTS_REGISTERED_LAST_5FY,NUM_EVTS_CONFIRMED_ATTEND,NUM_EVT_CONFIRM_ATTEND_LST_5FY,FIRST_ATTENDED_EVENT_DATEKEY,LAST_ATTENDED_EVENT_DATEKEY,M_GIFT,M_DATE,M_RANK,R_GIFT,R_DATE,R_RANK,FYOG_COUNT,GIFT_COUNT,F_RANK,TOTAL_RFM,DONOR_RANK,CONSECUTIVE_YEARS_OF_GIVING,LAST_FIS_YEAR_OF_GIVING,TOT_CRED_LAST_FIS_YR_OF_GIVING,TOTAL_SOFT_CREDIT,TOTAL_SOFT_FUNDRAISING,DONOR_CATEGORY,CLASS_YEAR,CLASS_YEAR_DECADE,YOUNG_ALUMNI_IND,AGE,BINNED_AGE,DONOR_STATUS,CURRENT_SOLICIT_SEGMENT,SIMPLE_RATING,CONSECUTIVE_YRS_OF_GIVING_BIN,FIS_YEARS_OF_GIVING,FYOG_COUNT_BINNED,CHALLENGE_REGION,YEARS_SINCE_UD_CONNECTION,YEARS_GAVE_SINCE_UD_CONNECTION,GIVING_YEARS_SATURATION
0000007649,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, ,7841,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,00000000,0,0,00000000,0,0,0,0,0,31383,0,0,0,0,0,Individuals,1975,1970's,N,69,65+,Future Donor,AL Only - Future Donor,<$50K,0,0,0,Baltimore,48,0,0
0000007731,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, ,3971,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,250,20030516,94,100,20211130,98,5,5,90,282,6588,4,2022,100,650,650,Individuals,1977,1970's,N,66,65+,Current Donor,Exclude Current FY Donors,$50K - $250K,3-5,5,3-5,Northern NJ,46,5,0.11
0000007987,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,5,6,5,20160917,20211113,350,20220125,96,350,20220125,99,35,54,100,295,1885,34,2022,350,8485,8485,Individuals,1964,1960's,N,79,65+,Current Donor,Exclude Current FY Donors,<$50K,10+,35,10+,New Castle County DE,59,35,0.59
0000008467,1,20210323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,20140606,20210605,1000,20210415,97,1000,20210415,96,25,31,99,292,2249,1,2021,1100,3395,3395,Individuals,1964,1960's,N,79,65+,Lybunt,DDS Lybunt,<$50K,1,25,10+,None,59,25,0.42
0000008856,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,250,20041118,94,100,20101228,81,12,13,96,271,3886,5,2011,100,1250,1250,Individuals,1983,1980's,N,60,55 - 64,Ever Donor,AL Only - Lapsed 6-10 Years,$50K - $250K,3-5,12,10+,None,40,12,0.3
0000008909,0,99999999,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, ,6021,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,35,20130912,78,35,20130912,84,3,3,86,248,15983,1,2014,35,85,85,Individuals,1988,1980's,N,56,55 - 64,Ever Donor,AL Only - Lapsed 6-10 Years,<$50K,1,3,3-5,Baltimore,35,3,0.09
0000009038,0,99999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3971,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,20040430,20040430,0,00000000,0,0,00000000,0,0,0,0,0,36264,0,0,0,0,0,Individuals,1980,1980's,N,74,65+,Future Donor,GA Only - Future Donor,$50K - $250K,0,0,0,Washingon D.C.,43,0,0
0000009239,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11, ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,00000000,0,0,00000000,0,0,0,0,0,52351,0,0,0,0,0,Individuals,1988,1980's,N,55,55 - 64,Future Donor,AL Only - Future Donor,$50K - $250K,0,0,0,Northern NJ,35,0,0
0000009739,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,200,20210302,92,97.1,20220228,99,11,14,96,287,3424,9,2022,197.1,1397.1,1397.1,Individuals,1974,1970's,N,83,65+,Current Donor,Exclude Current FY Donors,<$50K,6-9,11,10+,None,49,11,0.22
0000011215,1,20211201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, ,4811,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,00000000,0,0,00000000,0,0,0,0,0,31819,0,0,0,0,0,Individuals,1987,1980's,N,56,55 - 64,Future Donor,AL Only - Future Donor,<$50K,0,0,0,Seattle,36,0,0
0000011820,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,200,20131227,92,100,20211108,98,10,10,94,284,11173,6,2022,100,1050,1050,Individuals,1968,1960's,N,75,65+,Current Donor,Exclude Current FY Donors,<$50K,6-9,10,6-9,None,55,10,0.18
0000012198,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,500,20070920,96,275,20211207,98,23,24,98,292,3113,3,2022,275,3600,3600,Individuals,1951,1950's,N,91,65+,Current Donor,Exclude Current FY Donors,<$50K,3-5,23,10+,None,72,23,0.32
0000012772,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3, ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,20171209,20171209,100,20051020,85,100,20051020,75,21,21,98,258,3907,21,2006,100,1270,1270,Individuals,1976,1970's,N,68,65+,Ever Donor,AL Only - Lapsed 11+ Years,<$50K,10+,21,10+,Philadelphia,47,21,0.45
0000013942,0,99999999,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,500,20120605,96,50,20200922,94,24,26,98,288,3996,1,2021,50,2290,2290,Individuals,1957,1950's,N,86,65+,Outstanding Balance,AL Only - Lybunts Last FYB,<$50K,1,24,10+,None,66,24,0.36
0000014125,0,99999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,00000000,0,0,00000000,0,0,0,0,0,37881,0,0,0,0,0,Individuals,1983,1980's,N,64,55 - 64,Future Donor,GA Only - Future Donor,<$50K,0,0,0,Northern NJ,40,0,0
0000014941,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,00000000,0,0,00000000,0,0,0,0,0,36451,0,0,0,0,0,Individuals,1986,1980's,N,59,55 - 64,Future Donor,AL Only - Future Donor,$50K - $250K,0,0,0,None,37,0,0
0000015291,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0, , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,00000000,0,0,00000000,0,0,0,0,0,52306,0,0,0,0,0,Individuals,1984,1980's,N,60,55 - 64,Future Donor,AL Only - Future Donor,<$50K,0,0,0,Northern NJ,39,0,0
0000015661,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,15,20161129,69,15,20161129,88,26,29,99,256,8919,1,2017,15,300,300,Individuals,1969,1960's,N,74,65+,Lapsed 2-5 yrs,AL Only - Lapsed 2-5 Years,<$50K,1,26,10+,None,54,26,0.48
0000016096,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30,20120718,77,30,20120718,83,21,24,98,258,6078,1,2013,30,565,565,Individuals,1971,1970's,N,72,65+,Ever Donor,AL Only - Lapsed 6-10 Years,<$50K,1,21,10+,Boston,52,21,0.4
0000017671,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0, ,4901,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,3,0,20080610,20110421,100,19901207,85,50,20101110,80,2,2,80,245,12264,1,2011,50,150,150,Individuals,1982,1980's,N,61,55 - 64,Ever Donor,AL Only - Lapsed 6-10 Years,<$50K,1,2,2,Washingon D.C.,41,2,0.05
0000018348,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, , ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,50,20211012,79,50,20211012,97,24,25,98,274,5168,2,2022,50,810,810,Individuals,1974,1970's,N,70,65+,Current Donor,Exclude Current FY Donors,<$50K,2,24,10+,None,49,24,0.49
0000019110,1,20220416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,4951,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,20130531,20150904,1000,20180315,97,1000,20180315,90,16,18,97,284,3854,2,2018,1000,3575,3575,Individuals,1979,1970's,N,64,55 - 64,Lapsed 2-5 yrs,AL Only - Lapsed 2-5 Years,<$50K,2,16,10+,New Castle County DE,44,16,0.36
0000020160,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11, ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,20131212,91,50,20211102,97,19,26,98,286,3545,2,2022,50,1500,1500,Individuals,1986,1980's,N,58,55 - 64,Current Donor,Exclude Current FY Donors,$50K - $250K,2,19,10+,Lancaster,37,19,0.51
0000021371,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,1000,20220317,97,1000,20220317,99,19,23,98,294,2167,2,2022,1000,3825,3825,Individuals,1984,1980's,N,59,55 - 64,Current Donor,Exclude Current FY Donors,<$50K,2,19,10+,Philadelphia,39,19,0.49
0000021854,0,99999999,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0, , ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,19960101,20111026,25,19991221,72,25,19991221,72,1,1,66,210,27272,1,2000,25,25,25,Individuals,1986,1980's,N,69,65+,Ever Donor,GA Only - Lapsed 11+ Years,<$50K,1,1,1,New Castle County DE,37,1,0.03
0000022081,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,00000000,0,0,00000000,0,0,0,0,0,36558,0,0,0,0,0,Individuals,1976,1970's,N,67,65+,Future Donor,AL Only - Future Donor,$50K - $250K,0,0,0,San Francisco,47,0,0
0000022591,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,20041206,92,150,20041206,75,11,11,95,262,5944,1,2005,150,525,525,Individuals,1987,1980's,N,56,55 - 64,Ever Donor,AL Only - Lapsed 11+ Years,<$50K,1,11,10+,New York City,36,11,0.31
0000022655,0,99999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11, ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,20210121,20210121,0,00000000,0,0,00000000,0,0,0,0,0,36730,0,0,0,0,0,Individuals,1973,1970's,N,75,65+,Future Donor,GA Only - Future Donor,$50K - $250K,0,0,0,Philadelphia,50,0,0
0000024116,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, ,2111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,50,20211125,79,50,20211125,98,9,11,95,272,9926,2,2022,50,225,225,Individuals,1984,1980's,N,59,55 - 64,Current Donor,Exclude Current FY Donors,$50K - $250K,2,9,6-9,San Francisco,39,9,0.23
0000025202,0,99999999,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, ,2401,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,0,00000000,0,0,00000000,0,0,0,0,0,36660,0,0,0,0,0,Individuals,1984,1980's,N,60,55 - 64,Future Donor,AL Only - Future Donor,<$50K,0,0,0,Baltimore,39,0,0
0000025306,1,20210910,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0, ,4201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,20170602,20170602,1000,20220329,97,1000,20220329,100,30,35,99,296,1276,12,2022,1000,14150,14150,Individuals,1967,1960's,N,76,65+,Current Donor,Exclude Current FY Donors,<$50K,10+,30,10+,None,56,30,0.54
0000025880,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,00000000,0,0,00000000,0,0,0,0,0,52386,0,0,0,0,0,Individuals,1974,1970's,N,70,65+,Future Donor,AL Only - Future Donor,<$50K,0,0,0,None,49,0,0
0000026521,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2, ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,20040401,20161029,300,19960618,95,300,19960618,69,4,4,88,252,5873,1,1996,300,670,670,Individuals,1984,1980's,N,59,55 - 64,Ever Donor,AL Only - Lapsed 11+ Years,$50K - $250K,1,4,3-5,Washingon D.C.,39,4,0.1
0000026984,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,20080610,20110308,50,20190519,78,50,20190519,93,14,15,96,267,9190,1,2019,50,265,265,Individuals,1983,1980's,N,61,55 - 64,Lapsed 2-5 yrs,AL Only - Lapsed 2-5 Years,$50K - $250K,1,14,10+,Baltimore,40,14,0.35
0000027048,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2, ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,100,20061006,85,100,20061006,76,2,2,81,242,13262,1,2007,100,125,125,Individuals,1987,1980's,N,56,55 - 64,Ever Donor,AL Only - Lapsed 11+ Years,<$50K,1,2,2,None,36,2,0.06
0000027167,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3, ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,00000000,0,0,00000000,0,0,0,0,0,36476,0,0,0,0,0,Individuals,1982,1980's,N,61,55 - 64,Future Donor,AL Only - Future Donor,$50K - $250K,0,0,0,Washingon D.C.,41,0,0
0000027219,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, ,3611,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,00000000,0,0,00000000,0,0,0,0,0,36328,0,0,0,0,0,Individuals,1975,1970's,N,68,65+,Future Donor,AL Only - Future Donor,$50K - $250K,0,0,0,Washingon D.C.,48,0,0
0000027396,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,19950323,19950323,0,00000000,0,0,00000000,0,0,0,0,0,32056,0,0,0,0,0,Individuals,1980,1980's,N,63,55 - 64,Future Donor,AL Only - Future Donor,<$50K,0,0,0,Philadelphia,43,0,0
0000027675,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1, , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,25,20100921,72,25,20100921,81,1,1,66,219,25399,1,2011,25,25,25,Individuals,1974,1970's,N,70,65+,Ever Donor,AL Only - Lapsed 6-10 Years,$250K - $1MM,1,1,1,Atlanta,49,1,0.02
0000027780,1,20210512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3301,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19000,20210504,100,19000,20210504,96,4,5,90,286,13697,1,2021,25000,25062.5,25062.5,Individuals,1977,1970's,N,66,65+,Lybunt,DDS Lybunt,$250K - $1MM,1,4,3-5,Baltimore,46,4,0.09
0000028661,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, , ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,25,19941230,72,25,19941230,69,1,1,65,206,25123,1,1995,25,25,25,Individuals,1987,1980's,N,56,55 - 64,Ever Donor,AL Only - Lapsed 11+ Years,<$50K,1,1,1,Washingon D.C.,36,1,0.03
0000030018,0,99999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,00000000,0,0,00000000,0,0,0,0,0,36743,0,0,0,0,0,Individuals,1963,1960's,N,85,65+,Future Donor,GA Only - Future Donor,<$50K,0,0,0,None,60,0,0
0000030241,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1000,19961115,97,100,20040412,74,4,4,88,259,3769,1,2004,100,1400,1400,Individuals,1959,1950's,N,84,65+,Ever Donor,AL Only - Lapsed 11+ Years,<$50K,1,4,3-5,New Castle County DE,64,4,0.06
0000030882,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, , ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,20120601,20120601,600,20170313,97,50,20211202,98,28,31,99,294,1552,4,2022,100,6145,6145,Individuals,1962,1960's,N,82,65+,Current Donor,Exclude Current FY Donors,<$50K,3-5,28,10+,New Castle County DE,61,28,0.46
0000031061,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11, ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,20000202,20000202,100,20110303,85,100,20110303,81,20,27,98,264,4240,4,2011,100,1130,1130,Individuals,1969,1960's,N,77,65+,Ever Donor,AL Only - Lapsed 6-10 Years,<$50K,3-5,20,10+,None,54,20,0.37
